Date,Year,Month,Avg_Temp,Max_Temp,Min_Temp,Rain,Max_Wind,Avg_Wind,Avg_Gust,Sun_Hours,Clouds,Pressure,Snow
2012-08-01,2012,8,28.251612903225805,33.729032258064514,22.480645161290322,15.2,12.148387096774194,6.354838709677419,28.04516129032258,399.99011666666667,13.290322580645162,1013,0.0
2012-09-01,2012,9,23.09,28.14,18.303333333333335,50.2,11.676666666666668,6.366666666666666,28.13,320.30407777777776,26.8,1013,0.0
2012-10-01,2012,10,19.43548387096774,24.270967741935483,14.983870967741936,20.0,9.596774193548388,5.593548387096774,23.90967741935484,288.95137222222223,39.54838709677419,1013,0.0
2012-11-01,2012,11,13.1,16.926666666666666,9.846666666666666,48.5,8.473333333333333,5.483333333333333,20.040000000000003,187.97501666666668,66.13333333333334,1013,0.0
2012-12-01,2012,12,4.664516129032258,9.03225806451613,1.2774193548387098,68.0,11.33548387096774,7.387096774193548,25.200000000000003,204.06149444444446,52.16129032258065,1013,1.26
2013-01-01,2013,1,5.577419354838709,10.2,1.8806451612903228,44.6,11.832258064516129,7.725806451612903,27.116129032258065,222.41647777777777,51.25806451612903,1013,0.07
2013-02-01,2013,2,7.764285714285714,11.560714285714285,4.196428571428571,145.0,10.385714285714286,6.425,25.407142857142855,161.70460833333334,74.67857142857143,1013,0.35
2013-03-01,2013,3,10.254838709677419,14.370967741935484,6.074193548387097,57.1,12.651612903225805,8.03225806451613,28.76774193548387,238.61883055555555,59.70967741935484,1013,0.0
2013-04-01,2013,4,15.6,20.466666666666665,10.746666666666666,46.5,11.856666666666666,6.846666666666667,28.45,349.2322222222222,38.166666666666664,1013,0.0
2013-05-01,2013,5,21.538709677419355,26.16774193548387,16.703225806451613,16.1,12.338709677419354,7.196774193548387,29.83225806451613,388.70985277777777,37.74193548387097,1013,0.0
2013-06-01,2013,6,24.526666666666664,29.18,19.753333333333334,23.6,12.953333333333335,7.206666666666666,32.36,420.1951833333333,28.266666666666666,1013,0.0
2013-07-01,2013,7,27.0,32.2,21.33225806451613,21.400000000000002,11.95483870967742,6.719354838709678,29.98709677419355,431.06960833333335,20.161290322580644,1013,0.0
2013-08-01,2013,8,28.148387096774194,33.18387096774194,22.75483870967742,0.2,12.083870967741936,6.251612903225807,28.419354838709676,403.93453611111113,17.838709677419356,1013,0.0
2013-09-01,2013,9,22.59,28.02,16.85,6.1,12.856666666666666,7.4,30.19333333333333,334.6059388888889,23.9,1013,0.0
2013-10-01,2013,10,16.725806451612904,22.154838709677417,12.009677419354839,5.2,10.803225806451612,6.593548387096774,25.503225806451614,296.30179166666665,40.41935483870968,1013,0.0
2013-11-01,2013,11,12.776666666666667,16.503333333333334,9.446666666666665,61.800000000000004,9.57,6.066666666666666,24.006666666666668,193.85168055555556,63.56666666666667,1013,0.0
2013-12-01,2013,12,4.858064516129032,9.996774193548386,1.1129032258064515,46.199999999999996,9.870967741935484,6.651612903225806,20.825806451612905,211.30816944444445,39.58064516129032,1013,0.0
2014-01-01,2014,1,7.290322580645161,11.983870967741936,3.4387096774193546,46.800000000000004,8.958064516129031,5.941935483870967,19.567741935483873,204.04379444444444,67.90322580645162,1013,6.02
2014-02-01,2014,2,8.753571428571428,13.228571428571428,4.8999999999999995,34.900000000000006,8.335714285714285,5.264285714285714,19.310714285714287,206.6916527777778,63.892857142857146,1013,0.0
2014-03-01,2014,3,11.419354838709678,16.12258064516129,6.800000000000001,94.10000000000001,12.17741935483871,6.800000000000001,28.280645161290323,282.59680833333334,47.516129032258064,1013,0.0
2014-04-01,2014,4,14.293333333333333,18.526666666666664,10.013333333333332,76.0,10.49,6.02,27.46333333333333,300.60642777777775,61.86666666666667,1013,0.0
2014-05-01,2014,5,19.193548387096776,23.551612903225806,14.325806451612904,16.9,11.448387096774193,6.367741935483871,27.932258064516127,379.1404972222222,48.483870967741936,1013,0.0
2014-06-01,2014,6,24.05666666666667,28.926666666666666,18.94333333333333,20.7,13.233333333333333,7.223333333333333,33.766666666666666,410.55784166666666,29.933333333333334,1013,0.0
2014-07-01,2014,7,26.351612903225806,31.003225806451614,21.39032258064516,33.7,12.87741935483871,6.983870967741935,31.509677419354837,424.5935416666667,19.774193548387096,1013,0.0
2014-08-01,2014,8,27.07741935483871,31.983870967741936,22.216129032258067,21.7,11.306451612903226,6.441935483870967,28.070967741935487,393.0207888888889,17.64516129032258,1013,0.0
2014-09-01,2014,9,20.636666666666667,24.483333333333334,16.79,123.2,10.49,5.886666666666667,26.486666666666668,309.12864444444443,41.43333333333333,1013,0.0
2014-10-01,2014,10,15.629032258064516,19.25483870967742,12.36774193548387,95.2,10.23225806451613,6.051612903225807,24.664516129032258,213.47119166666667,63.70967741935484,1013,0.0
2014-11-01,2014,11,11.696666666666665,14.593333333333334,9.05,112.3,9.020000000000001,5.763333333333334,20.040000000000003,121.70589166666666,72.13333333333334,1013,0.0
2014-12-01,2014,12,7.422580645161291,10.890322580645162,4.506451612903225,129.4,11.293548387096775,7.699999999999999,24.287096774193547,151.56711666666666,64.25806451612904,1013,0.56
2015-01-01,2015,1,5.312903225806451,9.806451612903226,1.8129032258064517,52.3,12.816129032258065,8.241935483870968,28.112903225806452,219.79805555555555,55.67741935483871,1013,0.07
2015-02-01,2015,2,6.253571428571428,10.721428571428572,2.335714285714286,74.7,11.178571428571429,7.264285714285714,25.539285714285715,207.4386861111111,48.32142857142857,1013,2.17
2015-03-01,2015,3,8.516129032258064,12.070967741935483,4.66774193548387,125.9,11.167741935483871,6.909677419354838,26.103225806451615,207.13532777777777,67.87096774193549,1013,2.24
2015-04-01,2015,4,13.316666666666666,18.066666666666666,8.386666666666667,9.6,14.703333333333335,8.3,32.32666666666667,345.6403472222222,43.4,1013,0.0
