Date,Max_Wind,Avg_Wind,Avg_Gust
2025-12-18,6.8,4.4,16.6
2025-12-19,7.5,5.3,17.3
2025-12-20,5.9,4.4,16.2
2025-12-21,10.1,6.6,19.4
2025-12-22,8.3,6.2,19.1
2025-12-23,8.9,5.2,17.6
2025-12-24,10.8,7.6,23.8
2025-12-25,16.5,12.7,33.5
2025-12-26,22.4,11.1,47.5
2025-12-27,26.5,21.0,55.8
2025-12-28,39.7,23.2,81.4
2025-12-29,29.5,18.8,61.9
2025-12-30,28.3,12.2,59.0
2025-12-31,28.6,24.5,59.0
